gene_name,peak_id
YAL067W-A,chrI_72_875
PAU8,chrI_1445_1637
YAL067W-A,chrI_1445_1637
PAU8,chrI_2491_2661
YAL067W-A,chrI_2491_2661
SEO1,chrI_9025_9747
YAL065C,chrI_13526_13677
TDA8,chrI_13526_13677
TDA8,chrI_14710_15144
YAL064W,chrI_20475_21715
YAL063C-A,chrI_20475_21715
YAL063C-A,chrI_24545_25025
FLO9,chrI_28455_29071
FLO9,chrI_29829_30178
GDH3,chrI_29829_30178
GDH3,chrI_31745_31895
BDH2,chrI_31745_31895
BDH1,chrI_32572_33373
BDH2,chrI_32572_33373
BDH1,chrI_33764_35133
ECM1,chrI_33764_35133
BDH2,chrI_33764_35133
ACS1,chrI_45126_46111
FLC2,chrI_45126_46111
OAF1,chrI_48256_48798
SPC72,chrI_57669_57984
BOL3,chrI_57669_57984
BOL1,chrI_57669_57984
GCV3,chrI_57669_57984
SPC72,chrI_58189_58927
BOL3,chrI_58189_58927
BOL1,chrI_58189_58927
GCV3,chrI_58189_58927
PTA1,chrI_61170_61611
ERV46,chrI_61170_61611
CDC24,chrI_61170_61611
PTA1,chrI_62199_63028
ERV46,chrI_62199_63028
CDC24,chrI_62199_63028
CLN3,chrI_68009_69299
CYC3,chrI_68009_69299
CLN3,chrI_69396_69947
CYC3,chrI_69396_69947
CDC19,chrI_69396_69947
CYC3,chrI_69965_70415
CDC19,chrI_69965_70415
CYC3,chrI_70978_71658
CDC19,chrI_70978_71658
RBG1,chrI_76288_76477
FUN12,chrI_76288_76477
FUN19,chrI_80972_81188
POP5,chrI_80972_81188
FUN19,chrI_81999_82491
POP5,chrI_81999_82491
PRP45,chrI_83496_83846
FUN19,chrI_83496_83846
POP5,chrI_83496_83846
PRP45,chrI_84583_84735
GIP4,chrI_87159_87548
SNC1,chrI_87159_87548
MYO4,chrI_92406_93172
FRT2,chrI_92406_93172
SAW1,chrI_92406_93172
MYO4,chrI_93182_93330
FRT2,chrI_93182_93330
SAW1,chrI_93182_93330
MYO4,chrI_93478_93855
FRT2,chrI_93478_93855
SAW1,chrI_93478_93855
SAW1,chrI_95414_95577
DRS2,chrI_99891_100048
HRA1,chrI_99891_100048
DRS2,chrI_101467_101709
MAK16,chrI_101467_101709
LTE1,chrI_106366_106599
PMT2,chrI_108519_109156
CCR4,chrI_113276_115056
ATS1,chrI_113276_115056
FUN30,chrI_113276_115056
LDS1,chrI_119653_120110
PSK1,chrI_119653_120110
TPD3,chrI_124633_124947
SYN8,chrI_130165_130666
DEP1,chrI_130165_130666
CYS3,chrI_130165_130666
SWC3,chrI_130165_130666
SYN8,chrI_130930_131227
CYS3,chrI_130930_131227
SWC3,chrI_130930_131227
CYS3,chrI_131742_132274
SWC3,chrI_131742_132274
ERP2,chrI_139132_139864
SSA1,chrI_141343_142282
EFB1,chrI_141343_142282
snR18,chrI_141343_142282
VPS8,chrI_141343_142282
VPS8,chrI_143455_143675
TFC3,chrI_150788_150980
NUP60,chrI_150788_150980
ERP1,chrI_154796_155015
SWD1,chrI_154796_155015
ERP1,chrI_155214_155378
SWD1,chrI_155214_155378
RFA1,chrI_158611_159123
SEN34,chrI_158611_159123
RFA1,chrI_159585_160329
SEN34,chrI_159585_160329
YAR010C,chrI_165993_166997
YAR009C,chrI_165993_166997
BUD14,chrI_168988_169605
ADE1,chrI_168988_169605
CDC15,chrI_175179_175520
YAR023C,chrI_180901_181732
UIP3,chrI_182303_182769
UIP3,chrI_184694_184897
YAR028W,chrI_184694_184897
YAR029W,chrI_184694_184897
PRM9,chrI_184694_184897
YAT1,chrI_189822_192579
YAR035C-A,chrI_189822_192579
SWH1,chrI_189822_192579
FLO1,chrI_203098_203644
FLO1,chrI_203840_204063
YAR064W,chrI_220237_220580
YAR066W,chrI_220237_220580
YAR068W,chrI_220237_220580
YAR068W,chrI_222742_223368
YBL113C,chrII_1752_2187
YBL112C,chrII_1752_2187
YBL111C,chrII_5748_6440
YBL111C,chrII_6608_6804
PAU9,chrII_6608_6804
PAU9,chrII_7199_7402
PAU9,chrII_8314_8626
PAU9,chrII_9607_9962
MIX23,chrII_9607_9962
MIX23,chrII_10207_10363
MIX23,chrII_10442_10829
PKC1,chrII_17988_18359
PKC1,chrII_18656_18806
SEA4,chrII_21388_21585
RTG3,chrII_23832_24195
SFT2,chrII_23832_24195
RTG3,chrII_24504_24683
SFT2,chrII_24504_24683
